Name|Language|PlantKeys
Penstemon floridus austinii|Latin|PL0130
Austin's Penstemon|English|PL0130
Austin's Beardtongue|English|PL0130
Penstemon floridus floridus|Latin|PL0131
Panamint Penstemon|English|PL0131
Panamint Beardtongue|English|PL0131
Rose Penstemon|English|PL0131
Rose Beardtongue|English|PL0131
Penstemon flowersii|Latin|PL0132
Flowers's Beardtongue|English|PL0132
Flowers's Penstemon|English|PL0132
Penstemon franklinii|Latin|PL0133
Ben Franklin's Penstemon|English|PL0133
Ben Franklin's Beardtongue|English|PL0133
Franklin's Penstemon|English|PL0133
Franklin’s Beardtongue|English|PL0133
Penstemon fremontii|Latin|PL0134
Fremont's Penstemon|English|PL0134,PL0135
Fremont's Beardtongue|English|PL0134,PL0135
Penstemon fremontii glabrescens|Latin|PL0135
Penstemon luculentus|Latin|PL0135
Penstemon fruticiformis amargosae|Latin|PL0136
Death Valley Penstemon|English|PL0136,PL0137
Death Valley Beardtongue|English|PL0136,PL0137
Penstemon fruticiformis fruticiformis|Latin|PL0137
Penstemon fruticosus fruticosus|Latin|PL0138
Penstemon fruticosus scouleri|Latin|PL0139
Penstemon fruticosus albus|Latin|PL0139
Penstemon scouleri|Latin|PL0139
Littleleaf Bush Penstemon|English|PL0139
Little-leaf Bush Penstemon|English|PL0139
Little Leaf Bush Penstemon|English|PL0139
Littleleaf Bush Beardtongue|English|PL0139
Little-leaf Bush Beardtongue|English|PL0139
Little Leaf Bush Beardtongue|English|PL0139
Littleleaf Bush-penstemon|English|PL0139
Little-leaf Bush-penstemon|English|PL0139
Little Leaf Bush-penstemon|English|PL0139
Littleleaf Bush-beardtongue|English|PL0139
Little-leaf Bush-beardtongue|English|PL0139
Little Leaf Bush-beardtongue|English|PL0139
Penstemon fruticosus serratus|Latin|PL0140
Sawleaf Bush Penstemon|English|PL0140
Saw-leaf Bush Penstemon|English|PL0140
Saw Leaf Bush Penstemon|English|PL0140
Sawleaf Bush Beardtongue|English|PL0140
Saw-leaf Bush Beardtongue|English|PL0140
Saw Leaf Bush Beardtongue|English|PL0140
Sawleaf Bush-penstemon|English|PL0140
Saw-leaf Bush-penstemon|English|PL0140
Saw Leaf Bush-penstemon|English|PL0140
Sawleaf Bush-beardtongue|English|PL0140
Saw-leaf Bush-beardtongue|English|PL0140
Saw Leaf Bush-beardtongue|English|PL0140
Penstemon gairdneri gairdneri|Latin|PL0141
Penstemon gairdneri hians|Latin|PL0141
Gairdner's Penstemon|English|PL0141,PL0142
Gairdner's Beardtongue|English|PL0141,PL0142
Penstemon gairdneri oreganus|Latin|PL0142
Penstemon puberulentus|Latin|PL0142
Penstemon gibbensii|Latin|PL0143
Gibbens's Penstemon|English|PL0143
Gibbens’s Beardtongue|English|PL0143
Penstemon glaber alpinus|Latin|PL0144
Alpine Sawsepal Penstemon|English|PL0144
Alpine Saw-sepal Penstemon|English|PL0144
Alpine Saw Sepal Penstemon|English|PL0144
Alpine Sawsepal Beardtongue|English|PL0144
Alpine Saw-sepal Beardtongue|English|PL0144
Alpine Saw Sepal Beardtongue|English|PL0144
Alpine Penstemon|English|PL0144
Alpine Beardtongue|English|PL0144
Penstemon glaber brandegeei|Latin|PL0145
Penstemon alpinus brandegeei|Latin|PL0145
Penstemon brandegeei|Latin|PL0145
Brandegee's Beardtongue|English|PL0145
Brandegee's Penstemon|English|PL0145
Penstemon glaber glaber|Latin|PL0146
Penstemon alpinus magnus|Latin|PL0146
Sawsepal Penstemon|English|PL0146
Saw-sepal Penstemon|English|PL0146
Saw Sepal Penstemon|English|PL0146
Sawsepal Beardtongue|English|PL0146
Saw-sepal Beardtongue|English|PL0146
Saw Sepal Beardtongue|English|PL0146
