Name|Language|PlantIDs
Cordelia Beardtongue|English|PL0129
Cordillia's Penstemon|English|PL0129
Cordillia's Beardtongue|English|PL0129
Austin's Penstemon|English|PL0130
Austin's Beardtongue|English|PL0130
Panamint Penstemon|English|PL0131
Panamint Beardtongue|English|PL0131
Rose Penstemon|English|PL0131
Rose Beardtongue|English|PL0131
Flowers's Beardtongue|English|PL0132
Flowers's Penstemon|English|PL0132
Ben Franklin's Penstemon|English|PL0133
Ben Franklin's Beardtongue|English|PL0133
Franklin's Penstemon|English|PL0133
Franklin’s Beardtongue|English|PL0133
Fremont's Penstemon|English|PL0134,PL0135
Fremont's Beardtongue|English|PL0134,PL0135
Penstemon fremontii glabrescens|Latin|PL0135
Death Valley Penstemon|English|PL0136,PL0137
Death Valley Beardtongue|English|PL0136,PL0137
Penstemon fruticosus albus|Latin|PL0139
Penstemon scouleri|Latin|PL0139
Little-leaf Bush-penstemon|English|PL0139
Little-leaf Bush-beardtongue|English|PL0139
Saw-leaf Bush-penstemon|English|PL0140
Saw-leaf Bush-beardtongue|English|PL0140
Penstemon gairdneri hians|Latin|PL0141
Gairdner's Penstemon|English|PL0141,PL0142
Gairdner's Beardtongue|English|PL0141,PL0142
Penstemon puberulentus|Latin|PL0142
Gibbens's Penstemon|English|PL0143
Gibbens’s Beardtongue|English|PL0143
Penstemon alpinus|Latin|PL0144
Penstemon alpinus magnus|Latin|PL0144
Alpine Saw-sepal Penstemon|English|PL0144
Alpine Saw-sepal Beardtongue|English|PL0144
Alpine Penstemon|English|PL0144
Alpine Beardtongue|English|PL0144
Penstemon alpinus brandegeei|Latin|PL0145
Penstemon brandegeei|Latin|PL0145
Brandegee's Beardtongue|English|PL0145
Brandegee's Penstemon|English|PL0145
Saw-sepal Penstemon|English|PL0146
Saw-sepal Beardtongue|English|PL0146
Sticky-stem Penstemon|English|PL0148,PL0149
Sticky-stem Beardtongue|English|PL0148,PL0149
Blue-leaf Penstemon|English|PL0150
Blue-leaf Beardtongue|English|PL0150
Globe Penstemon|English|PL0151
Globe Beardtongue|English|PL0151
Goodrich’s Penstemon|English|PL0152
Goodrich’s Beardtongue|English|PL0152
Lapoint Penstemon|English|PL0152
Lapoint Beardtongue|English|PL0152
Gorman's Penstemon|English|PL0153
Gorman's Beardtongue|English|PL0153
